Date,Berri 1,Brébeuf (données non disponibles),Côte-Sainte-Catherine,Maisonneuve 1,Maisonneuve 2,du Parc,Pierre-Dupuy,Rachel1,St-Urbain (données non disponibles)
2012-12-07,6179,,2371,3772,7200,3687,2433,5140,
2012-02-20,303,,2,224,470,243,14,10,
2012-04-01,144,,1,116,318,111,8,61,
2012-05-04,2424,,1036,1823,3273,1699,355,2463,
2012-04-15,2554,,1210,1637,2954,1559,1846,3604,
2012-05-19,4732,,1454,2807,4673,1966,2914,5293,
2012-02-14,318,,0,186,504,243,9,1,
2012-03-21,2829,,1558,1893,3510,2225,993,2846,
2012-09-19,4653,,2351,3176,5746,3738,840,4189,
2012-06-09,5883,,2883,3967,7511,4014,1498,4732,
2012-09-21,4022,,1821,2911,4745,2945,889,3886,
2012-08-16,6062,,2538,3898,6549,3366,1549,4943,
2012-06-24,3341,,1152,1423,2989,1510,3634,4581,
2012-01-13,75,,0,41,105,64,2,0,
2012-04-29,1970,,765,1212,2077,1062,702,2493,
2012-06-13,6180,,2792,4374,7297,3825,1968,5887,
2012-06-21,5183,,2195,3297,6684,3272,2265,4957,
2012-06-17,4638,,1552,2082,4108,2020,3453,5128,
2012-02-03,143,,0,56,283,77,7,1,
2012-11-01,273,,0,182,443,258,12,194,
2012-07-29,4230,,1332,1791,4235,1905,3731,4906,
2012-01-17,155,,0,86,256,74,0,0,
2012-01-05,1986,,815,1722,2766,1516,195,1960,
2012-04-11,966,,446,710,1277,692,197,1374,
2012-05-02,72,,0,46,133,54,7,0,
2012-03-22,2195,,1030,1640,2654,1958,548,2254,
2012-04-09,4225,,1934,3057,5275,3006,894,3868,
2012-03-14,469,,146,313,739,451,0,336,
2012-02-01,83,,1,68,153,53,6,43,
2012-01-14,32,,0,54,56,19,0,1,
2012-06-03,269,,0,192,437,170,10,0,
2012-10-03,182,,13,162,296,165,0,58,
2012-10-13,1783,,802,1205,2113,1183,681,2309,
2012-10-27,1857,,792,1244,2461,1193,618,2471,
2012-09-17,5299,,2658,3670,6582,4076,1704,4788,
2012-11-04,2328,,1049,1765,3122,1843,330,2311,
2012-08-17,4236,,1777,3099,4979,2581,586,4154,
2012-02-02,217,,5,134,345,128,2,2,
2012-04-06,2717,,1408,2095,4276,2168,333,3090,
2012-01-18,139,,0,66,188,68,3,0,
2012-05-28,4268,,1962,3449,5798,2898,1027,3894,
2012-06-29,5770,,1935,4004,6656,3090,2109,5332,
2012-03-26,968,,564,729,1493,965,130,1168,
2012-08-05,1241,,625,991,1729,1007,119,1383,
2012-05-09,5655,,2722,3861,7110,4061,1383,4491,
2012-09-20,5260,,2496,3615,6348,3991,1391,5119,
2012-01-19,191,,1,104,248,79,3,0,
2012-02-17,332,,3,237,496,260,11,1,
2012-10-25,3735,,1815,2528,5010,3017,631,3767,
2012-02-25,62,,0,48,52,18,2,5,
2012-10-17,4098,,1964,2645,4836,3063,728,3834,
2012-05-26,4974,,1622,2936,4991,2373,3455,5443,
2012-02-28,195,,0,158,350,168,9,3,
2012-08-09,2155,,1192,1467,2739,898,801,2626,
2012-07-04,1208,,494,739,1445,709,598,1566,
2012-09-18,2530,,1277,1695,3254,2275,388,2377,
2012-02-06,943,,392,630,1289,628,71,1436,
2012-07-05,5552,,2573,3959,6355,3416,1848,5253,
2012-09-29,1896,,755,1206,1963,1062,442,2267,
2012-08-20,5335,,2474,3521,6088,3332,1439,5201,
